A#,x13331,3211
A#/A,x00331,3210
A#7,x13131,1211
A#m,x13321,3111
A#m/D#,xx1321,2214
A#m7,x13121,1111
A,x02220,2100
A/C#,042220,2100
A/E,00222x,2100
A/F#,202220,2100
A/F,102220,2403
A/G,302220,0100
A6sus,x04232,7600
A7,002020,0100
A7/G,302020,0100
A7sus4,002030,0200
AM7,x02120,1100
Aaug,x03221,2114
Adim,x01212,23x3
Am,002210,2000
Am/D,xx0210,2203
Am/F#,202210,2020
Am/G,302210,0000
Am11,x00013,0055
Am7,002010,0433
Am9,x05557,1032
Amaj7,x02120,1100
Asus2,x02200,1341
Asus4,x02230,2200
B,x24442,4322
B7,x21202,2322
B7sus4,x22202,2422
Bb,x13331,3211
Bb/A,x00331,3210
Bb7,x13131,1211
Bbdim7,x12020,0101
Bbm,x13321,3111
Bbm7,x13121,1111
Bm,x24432,3222
Bm11,x20220,4200
Bm7,x24232,2222
Bsus4,x24452,4422
C#,x46664,1114
C#7,x46464,1112
C#m,x46654,1104
C#m7,x46454,1102
C,x32010,0003
C/B,x22010,0002
C/E,032010,0003
C/G,332010,0003
C5,x355xx,0033
C6,x32210,0000
C7,x32310,0001
C7/G,3323xx,0001
C7sus4,x33310,0011
CM7,x32000,0002
Cadd9,x32033,0203
Cm,x35543,0333
Cm7,x35343,3333
Cmaj7,x32000,0002
Csus4,x33010,0013
D#,x68886,0331
D#,x68886,0331
D#5,x688xx,2255
D#M7,x68786,0335
D#dim7,xx1212,2323
D#m,x68876,0321
D#m7,x68676,0324
D#maj7,x68786,0335
D,xx0232,2220
D/A,x04232,2220
D/F#,200232,2220
D5,x577xx,2200
D6,xx0202,2222
D7,x00212,2223
D7/F#,200212,2223
D7sus4,x00212,2233
D9/F#,2x0210,5425
DM7,xx0222,2224
Dadd11,xx0032,0220
Daug,xx0332,3221
Db,x46664,1114
Db7,x46464,1112
Dbm,x46654,1104
Dbm7,x46454,1102
Dm,x00231,2210
Dm/B,x20231,4210
Dm/Bb,x10231,3210
Dm/C,x30231,2015
Dm/F,10323x,2210
Dm7,x00211,2213
Dmaj7,xx0222,2224
Dsus2,xx0230,2200
Dsus4,xx0233,0230
E,022100,4442
E6,022120,4444
E7,020100,1202
E7sus4,020200,2200
E9,076777,7647
EM7,xx2444,1302
Eaug,xx2110,1003
Eb,x68886,0331
EbM7,x68786,0335
Ebm,x68876,0321
Ebm7,x68676,0324
Ebmaj7,x68786,0335
Em,022000,0432
Em6,042000,0102
Em7,020030,0202
Em9/C,x34030,0605
EmM7,021000,0302
Emaj7,xx2444,1302
Esus4,022200,4400
F#,244322,3121
F#11/E,044300,4421
F#7,242322,3424
F#m,244222,2120
F#m11,202200,4420
F#m7,242222,2424
F,133211,2010
F/A,x03211,2010
F7,131211,2313
F7sus4,131311,3313
FM7,132211,2413
Fadd9,xx3213,0010
Fm,133111,1013
Fm7,131111,1313
Fmaj7,132211,2413
G#,466544,1343
G#7,464544,1323
G#dim,4564xx,1202
G#dim7,456464,1212
G#m,466444,4342
G+,x21003,332
G,320003,0232
G/B,x20003,4232
G/D,xx0033,x232
G6,320000,0202
G7,320001,0212
G7/F,123003,0212
G7sus4,353533,0213
GM7,320002,0222
Gm,355333,0231
Gm/Bb,x10333,0231
Gm7,353333,0211
Gmaj7,320002,0222
Gsus4,320013,0233
